Player           Team PS GP  Min  FGM  FGA  3M  3A FTM  FTA  OR   TR   AS  ST  TO  BK  PF  DQ   PTS  TC  EJ  FF Sta +/-
gill,anthony      was PF 59  596   71  132   4  29  49   67  37   99   34   7  15  12  70   0   195   0   0   0   8  -12
gilyard,jacob     mem PG  1   40    1    3   1   3   0    0   0    4    7   3   2   0   3   0     3   0   0   0   0  -13
gobert,rudy       min  C 70 2119  360  546   0   3 219  340 231  814   87  57 122  95 210   2   939   0   0   0  70   -7
goodwin,jordan    was PG 61 1076  158  353  38 118  53   69  57  205  168  58  57  26  95   0   407   0   0   0   7 -117
gordon,aaron      den PF 68 2020  429  761  60 173 191  314 164  446  203  54  98  51 129   1  1109   0   0   0  68  523
gordon,eric       hou SG 47 1395  210  478  85 245 110  135  12   97  136  30  83  17  45   0   615   0   0   0  47 -207
gordon,eric       lac SG 22  539   81  175  47 111  32   38   4   37   47  13  21   8  33   0   241   0   0   0  11   -2
gordon,eric       tot SG 69 1934  291  653 132 356 142  173  16  134  183  43 104  25  78   0   856   0   0   0  58 -209
graham,devonte'   nor PG 53  787   85  231  66 190  44   59  12   72  116  30  27  10  48   0   280   0   0   0   0   27
graham,devonte'   san SG 20  518   76  200  53 148  54   72   7   50   81  14  26   6  31   0   259   0   0   0   8 -186
graham,devonte'   tot SG 73 1305  161  431 119 338  98  131  19  122  197  44  53  16  79   0   539   0   0   0   8 -159
grant,jerami      por SF 63 2215  434  913 144 360 278  342  53  283  150  51 116  53 152   1  1290   0   0   0  63  -35
gray,raiquan      bro PF  1   35    6   12   2   5   2    2   3    9    7   0   4   1   5   0    16   0   0   0   0  -14
green,aj          mil PG 34  331   53  125  44 105   4    4   6   45   22   5   9   0  31   0   154   0   0   0   1  -29
green,danny       cle SG  8   91   19   38  13  29   1    1   2   10    4   5   7   3  11   0    52   0   0   0   0  -14
green,danny       mem SF  3   41    3   11   3   8   0    0   1    4    2   1   3   0   6   0     9   0   0   0   0   -3
green,danny       tot SF 11  132   22   49  16  37   1    1   3   14    6   6  10   3  17   0    61   0   0   0   0  -17
green,draymond    gsw PF 73 2262  250  474  40 131  77  108  66  525  500  73 204  60 229   4   617   0   0   0  73  350
green,jalen       hou SG 76 2565  566 1358 187 554 364  463  43  284  281  59 200  18 131   1  1683   0   0   0  76 -447
green,jamychal    gsw SF 57  766  136  252  42 111  52   67  73  206   51  24  53  23 102   1   366   0   0   0   1 -156
green,javonte     chi SF 32  465   61  108  13  35  30   45  27   88   23  24  20  21  52   1   165   0   0   0   1   48
green,jeff        den PF 56 1067  160  328  30 104  87  117  38  144   69  18  46  17  99   0   437   0   0   0   4 -197
green,josh        dal SG 60 1512  205  382  68 169  68   94  55  182  103  42  72   5 156   1   546   0   0   0  21   76
griffin,aj        atl SF 72 1367  248  532 101 259  42   47  37  153   73  42  42  12  87   0   639   0   0   0  12   63
